figure,slug,title,source,source_url,colors
1.1,figure_1_1,Entity A assignment stimulates interaction with entity B,examples/HelloWorld.pdf,https://github.com/sbgn/entity-relationships/blob/master/examples/HelloWorld.pdf,
1.2,figure_1_2,CaMKII regulation overview,examples/CaMKII-intro.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/CaMKII-intro.svg,#0000ff;#ff0000
2.1,figure_2_01,Entity with state variables and unit of information,examples/ex-entity.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-entity.svg,#0000ff;#ff0000
2.2,figure_2_02,Alternative phosphorylation representations,images/entity-granularity.svg,https://github.com/sbgn/entity-relationships/blob/master/images/entity-granularity.svg,#0000ff;#ff0000
2.3,figure_2_03,Outcome glyph,images/outcome.svg,https://github.com/sbgn/entity-relationships/blob/master/images/outcome.svg,
2.4,figure_2_04,Outcome examples,examples/ex-outcome.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-outcome.svg,#0000ff;#ff0000
2.5,figure_2_05,And operator,images/and.svg,https://github.com/sbgn/entity-relationships/blob/master/images/and.svg,
2.6,figure_2_06,Or operator,images/or.svg,https://github.com/sbgn/entity-relationships/blob/master/images/or.svg,
2.7,figure_2_07,Or operator example,examples/ex-or.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-or.svg,#0000ff;#ff0000
2.8,figure_2_08,Not operator,images/not.svg,https://github.com/sbgn/entity-relationships/blob/master/images/not.svg,
2.9,figure_2_09,Delay operator,images/delay.svg,https://github.com/sbgn/entity-relationships/blob/master/images/delay.svg,
2.10,figure_2_10,Delay operator example,examples/ex-delay.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-delay.svg,#0000ff;#ff0000
2.11,figure_2_11,Perturbing agent glyph,images/perturbation.svg,https://github.com/sbgn/entity-relationships/blob/master/images/perturbation.svg,
2.12,figure_2_12,Perturbing agent example,examples/ex-perturbing.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-perturbing.svg,#ff3232
2.13,figure_2_13,Assignment glyph,images/assignment.svg,https://github.com/sbgn/entity-relationships/blob/master/images/assignment.svg,
2.14,figure_2_14,Assignment examples,examples/ex-assignment.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-assignment.svg,#0000ff;#ff0000
2.15,figure_2_15,Interaction glyph variants,images/interaction.svg,https://github.com/sbgn/entity-relationships/blob/master/images/interaction.svg,
2.16,figure_2_16,Interaction examples,examples/ex-interaction.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-interaction.svg,#0000ff;#ff0000
2.17,figure_2_17,Interaction influence examples,examples/ex-interaction-influences.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-interaction-influences.svg,#0000ff;#ff0000
2.18,figure_2_18,Phenotype glyph,images/phenotype.svg,https://github.com/sbgn/entity-relationships/blob/master/images/phenotype.svg,
2.19,figure_2_19,Phenotype stimulation example,examples/ex-phenotype.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-phenotype.svg,#0000ff;#ff0000
2.20,figure_2_20,Modulation glyph,images/modulation.svg,https://github.com/sbgn/entity-relationships/blob/master/images/modulation.svg,
2.21,figure_2_21,Stimulation glyph,images/stimulation.svg,https://github.com/sbgn/entity-relationships/blob/master/images/stimulation.svg,
2.22,figure_2_22,Stimulation example,examples/ex-stimulation.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-stimulation.svg,#0000ff;#ff0000
2.23,figure_2_23,Inhibition glyph,images/inhibition.svg,https://github.com/sbgn/entity-relationships/blob/master/images/inhibition.svg,
2.24,figure_2_24,Inhibition example,examples/ex-inhibition.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-inhibition.svg,#0000ff;#ff0000
2.25,figure_2_25,Necessary stimulation glyph,images/necessaryStimulation.svg,https://github.com/sbgn/entity-relationships/blob/master/images/necessaryStimulation.svg,
2.26,figure_2_26,Necessary stimulation example,examples/ex-necessaryStimulation.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-necessaryStimulation.svg,#0000ff;#ff0000
2.27,figure_2_27,Absolute inhibition glyph,images/absoluteInhibition.svg,https://github.com/sbgn/entity-relationships/blob/master/images/absoluteInhibition.svg,
2.28,figure_2_28,Absolute inhibition example,examples/ex-absoluteInhibition.svg,https://github.com/sbgn/entity-relationships/blob/master/examples/ex-absoluteInhibition.svg,#0000ff;#ff0000
2.29,figure_2_29,Absolute stimulation glyph,images/absoluteStimulation.svg,https://github.com/sbgn/entity-relationships/blob/master/images/absoluteStimulation.svg,
2.30,figure_2_30,Logic arc glyph,images/logicArc.svg,https://github.com/sbgn/entity-relationships/blob/master/images/logicArc.svg,
